epoch,train_loss,train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1
0,0.229206,0.436116,0.241536,0.230243,0.217142,0.493197,0.219150,0.214892,0.177373
1,0.144508,0.632027,0.432251,0.403496,0.399757,0.663265,0.436089,0.413050,0.406156
2,0.082006,0.763203,0.718205,0.612214,0.633897,0.632653,0.409876,0.459158,0.407747
3,0.033799,0.879046,0.834579,0.807102,0.809273,0.670068,0.638247,0.556808,0.565946
4,0.018869,0.918228,0.916165,0.910265,0.912466,0.625850,0.507040,0.437924,0.442040
5,0.007617,0.962521,0.962062,0.947208,0.954252,0.690476,0.593758,0.587453,0.587968
6,0.003802,0.989779,0.992293,0.976106,0.983771,0.673469,0.592938,0.531570,0.544820
7,0.001950,0.994889,0.996018,0.994180,0.995089,0.704082,0.605887,0.532924,0.549661
8,0.000740,0.996593,0.998628,0.993732,0.996147,0.704082,0.699531,0.594847,0.622663
9,0.000964,0.998296,0.997475,0.999308,0.998381,0.707483,0.654655,0.551500,0.576561
10,0.000987,0.998296,0.999311,0.997436,0.998363,0.710884,0.661251,0.601194,0.620648
11,0.000560,0.998296,0.997475,0.999308,0.998381,0.710884,0.657926,0.579308,0.600401
12,0.000296,0.998296,0.999311,0.997436,0.998363,0.697279,0.609711,0.543088,0.556774
13,0.000319,0.996593,0.996744,0.996744,0.996744,0.710884,0.660549,0.568059,0.592702
14,0.000180,0.998296,0.999311,0.997436,0.998363,0.697279,0.629208,0.549564,0.571788
15,0.000248,0.998296,0.999311,0.997436,0.998363,0.710884,0.648858,0.570979,0.591631
16,0.000330,0.998296,0.997475,0.999308,0.998381,0.700680,0.628698,0.555221,0.574988
17,0.000322,0.996593,0.996744,0.996744,0.996744,0.704082,0.631404,0.560271,0.579012
18,0.000303,0.998296,0.997475,0.999308,0.998381,0.707483,0.633134,0.561649,0.580500
19,0.000253,0.998296,0.999311,0.997436,0.998363,0.704082,0.627184,0.555238,0.574050
20,0.000200,0.998296,0.997475,0.999308,0.998381,0.707483,0.633134,0.561649,0.580500
21,0.000308,0.998296,0.999311,0.997436,0.998363,0.700680,0.628698,0.555221,0.574988
22,0.000497,0.998296,0.997475,0.999308,0.998381,0.710884,0.643459,0.572422,0.591136
23,0.000198,0.998296,0.999311,0.997436,0.998363,0.700680,0.628698,0.555221,0.574988
24,0.000258,0.998296,0.999311,0.997436,0.998363,0.707483,0.645329,0.571797,0.592080
25,0.000186,0.998296,0.997475,0.999308,0.998381,0.704082,0.640194,0.569667,0.588137
26,0.000606,0.998296,0.997475,0.999308,0.998381,0.700680,0.629702,0.558894,0.577526
27,0.000171,0.998296,0.999311,0.997436,0.998363,0.697279,0.632834,0.539758,0.562736
28,0.000855,0.998296,0.999311,0.997436,0.998363,0.700680,0.654780,0.579798,0.601788
