epoch,train_loss,train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1
0,1.183964,0.557823,0.378065,0.336117,0.339870,0.631399,0.411509,0.393503,0.378120
1,0.725029,0.726190,0.707719,0.593787,0.623720,0.679181,0.647950,0.450914,0.459873
2,0.353377,0.886054,0.890528,0.793643,0.821049,0.668942,0.549637,0.543994,0.541353
3,0.128650,0.960884,0.974115,0.939154,0.955046,0.672355,0.563665,0.518692,0.523154
4,0.061702,0.988095,0.967274,0.980005,0.973396,0.686007,0.564196,0.494832,0.512648
5,0.024182,0.993197,0.991530,0.994013,0.992752,0.672355,0.543504,0.495100,0.511026
6,0.019561,0.994898,0.997648,0.992065,0.994774,0.665529,0.560038,0.497944,0.520787
7,0.014997,0.994898,0.992364,0.997636,0.994924,0.679181,0.585801,0.494000,0.513600
8,0.013767,0.991497,0.993252,0.990390,0.991801,0.692833,0.566260,0.511886,0.527967
9,0.015225,0.991497,0.990390,0.990688,0.990537,0.689420,0.591188,0.508209,0.531907
10,0.027895,0.991497,0.993252,0.990390,0.991801,0.696246,0.567220,0.489160,0.506110
11,0.018834,0.994898,0.992075,0.997934,0.994923,0.675768,0.549128,0.472730,0.484583
12,0.011208,0.994898,0.994705,0.994999,0.994850,0.665529,0.542520,0.451406,0.467588
13,0.012814,0.993197,0.994013,0.994013,0.994013,0.686007,0.561113,0.479594,0.498164
14,0.009285,0.994898,0.995005,0.994702,0.994851,0.682594,0.562661,0.484176,0.501276
15,0.009711,0.991497,0.990538,0.993325,0.991912,0.689420,0.566519,0.486954,0.504494
16,0.009158,0.993197,0.993938,0.991376,0.992636,0.686007,0.564509,0.481332,0.500458
17,0.008874,0.991497,0.990538,0.993325,0.991912,0.682594,0.553036,0.473756,0.490788
18,0.008692,0.994898,0.997959,0.991767,0.994775,0.686007,0.564088,0.481903,0.500656
19,0.009236,0.991497,0.990696,0.990390,0.990541,0.682594,0.562442,0.484748,0.501466
20,0.008347,0.994898,0.992075,0.997934,0.994923,0.682594,0.551495,0.474328,0.490920
21,0.009053,0.989796,0.989701,0.989701,0.989701,0.682594,0.552527,0.474328,0.490972
22,0.008726,0.991497,0.990538,0.993325,0.991912,0.686007,0.564088,0.481903,0.500656
